,Unnamed: 0,objid,x,y,ra,dec,flux_z,original_image
17463,17463,J033230.10-274655.8,7909.014,6848.15,53.1254308,-27.782168199999997,0.00371964,h_s_sect23_v2.0_drz_img.fits
17470,17470,J033230.11-274649.3,7903.871,7063.079000000001,53.1254684,-27.780368199999998,0.00690003,h_s_sect23_v2.0_drz_img.fits
17481,17481,J033230.13-274717.6,7897.553000000001,6119.214,53.1255345,-27.7882348,0.00259725,h_s_sect23_v2.0_drz_img.fits
17483,17483,J033230.13-274754.6,7896.701,4886.914000000001,53.1255348,-27.7985098,0.00681732,h_s_sect23_v2.0_drz_img.fits
17489,17489,J033230.14-274741.8,7893.349,5314.535,53.1255535,-27.794926500000003,0.0101805,h_s_sect23_v2.0_drz_img.fits
17493,17493,J033230.14-275013.2,7892.203,268.12,53.125582900000005,-27.836993100000004,0.00276166,h_s_sect23_v2.0_drz_img.fits
17510,17510,J033230.16-274736.2,7882.076,5499.289000000001,53.1256665,-27.7934015,0.00264845,h_s_sect23_v2.0_drz_img.fits
17524,17524,J033230.17-274716.9,7876.439,6143.2,53.125732299999996,-27.788051399999997,0.00492646,h_s_sect23_v2.0_drz_img.fits
17527,17527,J033230.18-274908.0,7873.366999999999,2441.764,53.125752,-27.818876399999997,0.00665366,h_s_sect23_v2.0_drz_img.fits
17553,17553,J033230.22-274646.7,7858.156,7151.486999999999,53.125901600000006,-27.7796348,0.00368029,h_s_sect23_v2.0_drz_img.fits
17555,17555,J033230.22-274719.2,7857.504,6067.031999999999,53.125901799999994,-27.7886765,0.00536156,h_s_sect23_v2.0_drz_img.fits
17557,17557,J033230.22-274742.4,7857.144,5295.28,53.12593029999999,-27.795093100000003,0.00270309,h_s_sect23_v2.0_drz_img.fits
17558,17558,J033230.22-274950.9,7856.842,1009.873,53.1259125,-27.8308098,0.00343665,h_s_sect23_v2.0_drz_img.fits
17559,17559,J033230.22-274959.6,7855.484,719.336,53.125921999999996,-27.8332348,0.0046082,h_s_sect23_v2.0_drz_img.fits
17570,17570,J033230.24-274716.8,7847.515,6148.745,53.126005500000005,-27.7879848,0.00432527,h_s_sect23_v2.0_drz_img.fits
17571,17571,J033230.24-274947.9,7847.56,1110.155,53.125997399999996,-27.8299765,0.004548600000000001,h_s_sect23_v2.0_drz_img.fits
17572,17572,J033230.24-275004.0,7847.27,573.985,53.126016299999996,-27.834426399999998,0.00233601,h_s_sect23_v2.0_drz_img.fits
17574,17574,J033230.24-274908.1,7846.854,2438.521,53.1260064,-27.8189098,0.002407,h_s_sect23_v2.0_drz_img.fits
17576,17576,J033230.24-274642.2,7846.148,7301.976,53.126014600000005,-27.7783765,0.00383213,h_s_sect23_v2.0_drz_img.fits
17578,17578,J033230.25-274841.1,7845.268,3338.571,53.126025,-27.8114098,0.00994584,h_s_sect23_v2.0_drz_img.fits
17580,17580,J033230.25-274825.7,7844.651,3851.013,53.1260155,-27.8071015,0.00410874,h_s_sect23_v2.0_drz_img.fits
17582,17582,J033230.25-274717.5,7842.415,6124.016,53.12605260000001,-27.788193100000004,0.00964946,h_s_sect23_v2.0_drz_img.fits
17587,17587,J033230.26-274710.3,7840.552,6365.1759999999995,53.1261373,-27.786218100000003,0.00687598,h_s_sect23_v2.0_drz_img.fits
17590,17590,J033230.26-274653.7,7839.596,6916.6140000000005,53.126071200000005,-27.781593100000006,0.00368408,h_s_sect23_v2.0_drz_img.fits
17592,17592,J033230.26-274959.7,7837.743,716.916,53.1260917,-27.833251500000003,0.00375721,h_s_sect23_v2.0_drz_img.fits
17601,17601,J033230.27-274958.2,7833.059,765.753,53.12613879999999,-27.832843100000005,0.00343683,h_s_sect23_v2.0_drz_img.fits
17609,17609,J033230.28-274758.4,7828.641,4760.624,53.126175399999994,-27.7995598,0.0029134,h_s_sect23_v2.0_drz_img.fits
17611,17611,J033230.29-274922.0,7827.38,1973.826,53.1261856,-27.8227848,0.00618487,h_s_sect23_v2.0_drz_img.fits
17616,17616,J033230.30-274945.0,7822.055,1207.512,53.12626120000001,-27.829151500000002,0.00352546,h_s_sect23_v2.0_drz_img.fits
17618,17618,J033230.30-274944.4,7820.6269999999995,1228.818,53.1262611,-27.828993100000005,0.00345134,h_s_sect23_v2.0_drz_img.fits
17619,17619,J033230.30-274852.3,7820.328,2963.772,53.1262701,-27.814543199999996,0.0100084,h_s_sect23_v2.0_drz_img.fits
17625,17625,J033230.31-275017.0,7815.473000000001,141.842,53.1263086,-27.838043100000004,0.00379043,h_s_sect23_v2.0_drz_img.fits
17637,17637,J033230.33-274906.5,7808.523,2490.989,53.1263644,-27.818476399999998,0.025202099999999998,h_s_sect23_v2.0_drz_img.fits
17640,17640,J033230.33-274834.1,7807.008000000001,3569.303,53.126383,-27.8094848,0.00331164,h_s_sect23_v2.0_drz_img.fits
17645,17645,J033230.34-275008.5,7805.649,423.399,53.1264027,-27.835701399999998,0.00368412,h_s_sect23_v2.0_drz_img.fits
17650,17650,J033230.34-274620.9,7803.169,8010.184,53.12642879999999,-27.772501399999996,0.00363525,h_s_sect23_v2.0_drz_img.fits
17657,17657,J033230.35-274739.4,7798.244000000001,5392.464,53.1264767,-27.794276399999998,0.00663348,h_s_sect23_v2.0_drz_img.fits
17666,17666,J033230.36-275003.6,7794.130999999999,588.654,53.126506299999996,-27.834318100000004,0.00255534,h_s_sect23_v2.0_drz_img.fits
17667,17667,J033230.36-274940.4,7794.052,1360.8729999999998,53.126515500000004,-27.827884700000002,0.0035927,h_s_sect23_v2.0_drz_img.fits
17673,17673,J033230.37-274945.0,7790.967,1206.875,53.12654379999999,-27.8291598,0.00362387,h_s_sect23_v2.0_drz_img.fits
17678,17678,J033230.37-274956.4,7789.315,825.865,53.1265534,-27.832343100000003,0.00195458,h_s_sect23_v2.0_drz_img.fits
17682,17682,J033230.37-274627.1,7788.147,7803.389,53.1265702,-27.774193100000005,0.00470885,h_s_sect23_v2.0_drz_img.fits
17696,17696,J033230.41-274720.0,7774.1269999999995,6039.709,53.1266931,-27.788893100000003,0.00329858,h_s_sect23_v2.0_drz_img.fits
17697,17697,J033230.41-274902.7,7774.17,2615.968,53.1266942,-27.817426399999995,0.00313602,h_s_sect23_v2.0_drz_img.fits
17698,17698,J033230.41-274954.5,7773.693,889.471,53.1266947,-27.831818100000003,0.0041751,h_s_sect23_v2.0_drz_img.fits
17703,17703,J033230.41-274831.9,7771.509,3642.6220000000003,53.1267127,-27.808868100000005,0.00268607,h_s_sect23_v2.0_drz_img.fits
17710,17710,J033230.42-274657.3,7768.738,6798.568,53.126740000000005,-27.782576399999996,0.0133292,h_s_sect23_v2.0_drz_img.fits
