#CRTS ID	RA (J2000)	Dec (J2000)	UT Date	Mag	CSS images	SDSS	Others	Followed	Last	LC	FC	Classification
CSS090927:034402+215707	56.00828	21.95206	20090927.36	18.50	909271210194141689	no	41689	no	2016-11-05	41689	yes	CV mag 20 V701_Tau
CSS120914:034406+102042	56.02397	10.34491	20120914.47	18.97	1209141090204129093	yes	12909	no	2016-11-09	12909	yes	SN SDSS mag 21,0
CSS131031:034433-223033	56.13647	-22.50916	20131031.38	19.39	1310310210194101254	no	10125	yes	2016-10-11	10125	yes	Unknown mag >21
CSS130901:034435+182554	56.14694	18.43176	20130901.44	14.80	1309011180204130069	no	13006	no	2016-10-29	13006	yes	HPM GJ_151
CSS161021:034435+182551	56.14726	18.43082	20161021.33	15.02	1610211180204120790	no	12079	no	2016-10-29	12079	yes	HPM Wolf_219
CSS160208:034439+340704	56.16137	34.11791	20160208.12	16.35	1602081350174106153	no	10615	no	2016-11-06	10615	yes	CV mag 21
CSS130928:034515+275441	56.31202	27.91134	20130928.47	17.89	1309281260194162485	no	16248	yes	2016-11-06	16248	yes	SN? (MLS121120) mag >21,5
CSS090219:034515-015216	56.31429	-1.87116	20090219.17	16.83	902190010214113713	no	13713	yes	2016-11-07	13713	no	CV mag 19,0 DSS outburst
CSS071205:034521-012111	56.33674	-1.35300	20071205.25	19.32	712050010214119009	no	19009	no	2016-11-07	19009	no	AGN/Blazar PQ
CSS121011:034524-103413	56.35160	-10.57023	20121011.36	19.73	1210110090204111934	no	11193	no	2016-11-07	11193	yes	Unknown mag 20,5
CSS121016:034557+353017	56.48942	35.50481	20121016.46	17.33	1210161350174146514	yes	14651	no	2016-11-06	14651	yes	YSO SDSS mag 18,7
CSS141104:034607+084831	56.53001	8.80858	20141104.22	18.10	1411041090204104071	yes	10407	no	2016-11-09	10407	yes	SN SDSS mag 20,0
CSS120919:034613-021840	56.55224	-2.31108	20120919.45	16.50	1209190010214109505	no	10950	no	2016-11-07	10950	yes	HPM 2MASS_J034612
CSS090919:034617+293540	56.57195	29.59458	20090919.42	13.18	909191290184139269	no	39269	yes	2016-11-06	39269	yes	Var RCorB? mag 15
CSS161030:034625+114309	56.60592	11.71919	20161030.35	14.23	1610301120204106685	no	10668	no	2016-11-09	10668	yes	HPM LHS_1589a
CSS081007:034641+290837	56.66883	29.14357	20081007.46	19.11	810071290184121966	no	21966	yes	2016-11-06	21966	no	Comet/Ast?
CSS081220:034643+142027	56.67876	14.34093	20081220.23	19.68	812201150204103395	no	03395	yes	2016-11-09	03395	no	AGN DSS source
CSS091015:034700-030536	56.75205	-3.09341	20091015.38	17.21	910150040214139850	no	39850	yes	2016-11-07	39850	yes	Flare mag 20,0
CSS101202:034704+195112	56.76532	19.85327	20101202.38	16.71	1012021210204101666	no	10166	no	2016-11-05	10166	yes	Unknown
CSS071205:034712-041559	56.79980	-4.26636	20071205.25	19.46	712050040214118394	no	18394	no	2016-11-07	18394	no	CV/AGN? PQ source
CSS140104:034718+014254	56.82594	1.71497	20140104.21	19.42	1401041010214127020	no	12702	no	2016-11-09	12702	yes	SN mag 16
CSS130928:034720+143637	56.83525	14.61041	20130928.41	17.15	1309281150204108337	no	10833	no	2016-11-09	10833	yes	AGN mag 18,3
CSS081006:034804+262333	57.01614	26.39255	20081006.44	19.87	810061260194125870	no	25870	no	2016-11-06	25870	no	Ast
CSS071231:034824+091205	57.10056	9.20138	20071231.18	18.94	712311090214110314	yes	10314	no	2016-11-08	10314	no	SN/TDE SDSS mag 22,0 obj
CSS130109:034837-075552	57.15358	-7.93115	20130109.20	19.83	1301090070214110336	no	11033	yes	2016-11-07	11033	yes	Unknown mag 21
CSS131225:034905-163748	57.26931	-16.63006	20131225.23	19.26	1312250150204104874	no	10487	no	2016-11-07	10487	yes	AGN mag 20,5
CSS121022:034910+195251	57.29067	19.88093	20121022.44	18.71	1210221210204103080	no	10308	yes	2016-11-05	10308	yes	SN? mag 20,5
CSS150124:034915+352836	57.31392	35.47660	20150124.10	18.10	1501241350174146999	yes	14699	no	2016-11-06	14699	yes	Flare SDSS mag 19,5
CSS150118:034924-093518	57.35162	-9.58833	20150118.19	15.27	1501180090214122954	no	12295	no	2016-11-08	12295	yes	Flare mag 17,8
CSS090928:034931+162743	57.37833	16.46182	20090928.37	19.40	909281150204138107	yes	38107	no	2016-11-09	38107	yes	Var SDSS mag 21,2
CSS091015:034944-031552	57.43448	-3.26442	20091015.38	15.50	910150040214136986	no	36986	no	2016-11-07	36986	yes	SN 2009kk mag 16 gal 2MFGC_3182
